receiver,amount
0x181c8aa1a2cbd60e98c6894fa6337013a98f53bc,70
0x6f28ca76a3499f882b2f57c0b4fcfc0034fa5ad6,70
0x1d4489393abe76cf7e841f0fcd0cd7b548945c4a,70
0xeaa189d493feb3ead7083951be534b419e50fa1f,70
0x1bff2b878d89860b9642745c096149ca3f75335e,70
0xa42057b23caaba78f51c8a6f9de2bb112bb6a0ff,70
0x041728afd9f4e1b1e3bb8ed331b42b006a877912,70
0xc0dbd1d0510a2a72868b99b7e69951eefdfbf1e6,70
0x7d422cf705af9ea93919b1a6e843b2f9f387562d,70
0x36d7e86212eff3837671ddb76f5111a4e5fe6f9f,70
0x4a4fa57d532cc6eeacd592e077d5c4a17fc7818c,70
0xfcc2b4fb323d83570af61c9448280cb2e0a02979,70
0x964a02a5d2157c887e52278fd26cd356b8ad8c8e,70
0xf519bc3fbc0b1ec8feec3bbb47cc564a6532123a,70
0x5ae7b7bb9323bde5577e3f1f8f1a17bc53cd4c5d,70
0xb518e0f7f6e3c71fa8434116e1a4c63702155265,70
0x9db8e05caf73ec0cfa9ba4458e81521e5c5f739c,70
0x8d36f28989417b767a259c8d9a0c137566f10b7d,70
0x0fa54d0781c809ad625e475c9084dcac8ee2b85d,70
0xaa6fd0c3dd82e34b1a0ce7a526235336442fd678,70
0x996e1d4ce3e1e558889832832004b2466153adbe,70
0x5d931c7560122b2e657d189ccc20cbac6fc80ff8,70
0xd492c4971ef568f33a1255a8b346f572ba65173b,70
0xed1f2d7bc291209131d992de059723f492ee40f5,70
0xbb1b61089321ad51369c8327fe23d04ada2ed746,70
0x886478d3cf9581b624cb35b5446693fc8a58b787,70
0xd5a9c4a92dde274e126f82b215fccb511147cd8e,70
0xf3e70cde232478a77a65102c1fe93b396c8b1322,70
0x0ae6f4aa214e87daecfff8250583e9847113ef0d,70
0x352f97f2029b806087e17745184de4d27ed0f138,70
0xbe2da1bff5351c794400d55546550e85d9bbf344,70
0x3197e136edf4d0502e5f408553e077b3a482196c,70
0xe7c7652969ab78b74c7921041416a82632ea7b2d,70
0xbcce2ce773be0250bdddd4487d927accd748414f,70
0xab03a7dcad9c8a7ae9d7de8ccbef96e9231b6155,70
0xa3419664e7c2545ec339267bc13c5b46c4acac2e,70
0x625ceba7f2fa59a6b10cfaed5c54ebf3cd0501f6,70
0x825f9f5d2a4eea4d11c69f399f17d71dda5d67fb,70
0xce4d8d91cb4145dc53ce621680e722dd6139b500,70
0x176e7dc68e53c42dc60ad2c3dc75968b50f88d20,70
0x9022be65faf2b64bdfedbdeaec3d8d145aea19cb,70
0x0f35547cf184d4d65af5ced6ae37fe8032f83610,70
0x2c61b6e078d640984b66c4c723e1274c555a05f7,70
0x5147df7a8568ce65858d54c502ea5820f8e608fb,70
0x1ac796e39b2b0230f6e200cb92be9693fadd2627,70
0x2d37b4f77088eb8ee6d55ba00659eea5710811f5,70
0x18c96cef5f3d7ae66d31513b7291938f80cc9d2f,70
0x9d2859ff23f7eb5444789a8557452f298f2e6548,70
0x35f16816dead1dcaccff8ea785415a3fc5268832,70
0x316311645d286beda5efb97e4652c916057cf4a9,70
0xfd6230b8956b7f0f828bd1a58941396e256a19fb,70
0x4d1480d245fcea63c86bee65b4d282f93efd8354,70
0xc6b9a44d6c3a2c38b82538145a85e9c4227207c4,70
0xfa893e0326bc79aa30d72d64359e784770376d90,70
0xc07a18c4cce7f95a413515d3d137de47bcffb495,70
0xaaea16cdc55e5edd8a3906471a83787391c72afa,70
0xe773382a7574de1c82b1f67099e680c043048708,70
0x47344c10a2d42085b7c01950d19c9335d1534134,70
0x2e615dc85ecd3dfdd70fac6d5887c6ee4df6f6e1,70
0x7beba9b9c5735ffddadadd0ba468057a9617e57b,70
0x526bc68521561a9b386f9cf10d9b0fbe236f8f95,70
0xb6343d5effe59518acad6290690831fb072a88fd,70
0x0adfdf019fb9c5487d4cc65439091f48ffc2cecd,70
0x6d1e9895665516283b374c16148a8e8d156d7cd1,70
0xed71ae520cc8d5e9e5c40b574891e7fa39bb541d,70
0x65ab98d7ccd7d0542b008ca68c37bf14dc7f8331,70
0x89bde316a5aa59d9995fc82b217308abae60257c,70
0x776aa49b2910b5062b1c230039507d6cfa754b0e,70
0x6233a08537adc76f70d271204162a72fdc97ed6a,70
0x4bc32dcd65061c069fdbef3f371c460e534afd95,70
0xda85c6b1866bd3240935f8ede1477c7994197719,70
0x261e6e7aaacfcde75535fe96943f35bcd86b84c7,70
0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,70
0xa033ceac558745ff742818529d7d84f7d1ee55cd,70
0x0095e17d7943f0a89c4dddb2dc0fc57e33401f0f,70
0x89b4c4af005af1fdca2f037fdb0e5cba96e0bb27,70
0x25ba562c31aaca514319f615ed56fa587a9c7ea4,70
0x565dcb293e0617f69866a6b01d2ce8661c495989,70
0x3f873e3d9849254d501bacc89a4804fbf1b24d6a,70
0x0211677061fb97872dd015d23fe44f3a0066ccc3,70
0x832c99a0aadfc303992e0a4cb7800ba041a96634,70
0x9c4f9b0b48eb6c25c14f0fa8b7e2e82ebaf160de,70
0x03dc805c0f8aaeefa303619e3a5e2833e1df1666,70
0x0cd05018932688ca4ae65f4d3a6223d506cf3793,70
0x8a95beb7f2360525a9ce3cbd61a1c9011c31bf85,70
0xc68fa88db5888a909d1127ca7f57dd13300eef5f,70
0xb8ad93091f15ffb8253e00bcce52dcc0f6bb2222,70
0x85c0c09570c955f6e07522e9ad6041716cbbb7fe,70
0xb8ffa9bb58536ba6132fe559cc8dd6e70416ea05,70
0xe41379f11043b9dc32ff9199a246b3a878ac8209,70
0xb6c5af8e01c993f2897f7698d777b5c34c29e5ef,70
0xfbe871d0aad0fdab932b60351afd1006b03fda43,70
0xe46cfb22e798a1b9c0b1fbf103d21cd015866178,70
